company_id,company_name,industry,city,country,employees,annual_revenue_million_usd
97,Company 097,Software,Hyderabad,India,1699,109.9
98,Company 098,Finance,Bengaluru,India,1716,113.6
99,Company 099,Healthcare,Mumbai,India,1733,117.3
100,Company 100,Retail,Chennai,India,1750,121.0
101,Company 101,Manufacturing,Pune,India,1767,124.7
102,Company 102,Telecom,Delhi,India,1784,128.4
103,Company 103,Energy,Kolkata,India,1801,132.1
104,Company 104,Logistics,Ahmedabad,India,1818,135.8
105,Company 105,Software,Hyderabad,India,1835,139.5
106,Company 106,Finance,Bengaluru,India,1852,143.2
107,Company 107,Healthcare,Mumbai,India,1869,146.9
108,Company 108,Retail,Chennai,India,1886,150.6
109,Company 109,Manufacturing,Pune,India,1903,154.3
110,Company 110,Telecom,Delhi,India,1920,158.0
111,Company 111,Energy,Kolkata,India,1937,161.7
112,Company 112,Logistics,Ahmedabad,India,1954,165.4
113,Company 113,Software,Hyderabad,India,1971,169.1
114,Company 114,Finance,Bengaluru,India,1988,172.8
115,Company 115,Healthcare,Mumbai,India,2005,176.5
116,Company 116,Retail,Chennai,India,2022,180.2
117,Company 117,Manufacturing,Pune,India,2039,183.9
118,Company 118,Telecom,Delhi,India,2056,187.6
119,Company 119,Energy,Kolkata,India,2073,191.3
120,Company 120,Logistics,Ahmedabad,India,2090,195.0
121,Company 121,Software,Hyderabad,India,2107,198.7
122,Company 122,Finance,Bengaluru,India,2124,202.4
123,Company 123,Healthcare,Mumbai,India,2141,206.1
124,Company 124,Retail,Chennai,India,2158,209.8
125,Company 125,Manufacturing,Pune,India,2175,213.5
126,Company 126,Telecom,Delhi,India,2192,217.2
127,Company 127,Energy,Kolkata,India,2209,220.9
128,Company 128,Logistics,Ahmedabad,India,2226,224.6
129,Company 129,Software,Hyderabad,India,2243,228.3
130,Company 130,Finance,Bengaluru,India,2260,232.0
131,Company 131,Healthcare,Mumbai,India,2277,235.7
132,Company 132,Retail,Chennai,India,2294,239.4
133,Company 133,Manufacturing,Pune,India,2311,243.1
134,Company 134,Telecom,Delhi,India,2328,246.8
135,Company 135,Energy,Kolkata,India,2345,250.5
136,Company 136,Logistics,Ahmedabad,India,2362,4.2
137,Company 137,Software,Hyderabad,India,2379,7.9
138,Company 138,Finance,Bengaluru,India,2396,11.6
139,Company 139,Healthcare,Mumbai,India,2413,15.3
140,Company 140,Retail,Chennai,India,2430,19.0
141,Company 141,Manufacturing,Pune,India,2447,22.7
142,Company 142,Telecom,Delhi,India,2464,26.4
143,Company 143,Energy,Kolkata,India,2481,30.1
144,Company 144,Logistics,Ahmedabad,India,2498,33.8
145,Company 145,Software,Hyderabad,India,2515,37.5
146,Company 146,Finance,Bengaluru,India,2532,41.2
147,Company 147,Healthcare,Mumbai,India,2549,44.9
148,Company 148,Retail,Chennai,India,2566,48.6
149,Company 149,Manufacturing,Pune,India,2583,52.3
150,Company 150,Telecom,Delhi,India,2600,56.0
151,Company 151,Energy,Kolkata,India,2617,59.7
152,Company 152,Logistics,Ahmedabad,India,2634,63.4
153,Company 153,Software,Hyderabad,India,2651,67.1
154,Company 154,Finance,Bengaluru,India,2668,70.8
155,Company 155,Healthcare,Mumbai,India,2685,74.5
156,Company 156,Retail,Chennai,India,2702,78.2
157,Company 157,Manufacturing,Pune,India,2719,81.9
158,Company 158,Telecom,Delhi,India,2736,85.6
159,Company 159,Energy,Kolkata,India,2753,89.3
160,Company 160,Logistics,Ahmedabad,India,2770,93.0
161,Company 161,Software,Hyderabad,India,2787,96.7
162,Company 162,Finance,Bengaluru,India,2804,100.4
163,Company 163,Healthcare,Mumbai,India,2821,104.1
164,Company 164,Retail,Chennai,India,2838,107.8
165,Company 165,Manufacturing,Pune,India,2855,111.5
166,Company 166,Telecom,Delhi,India,2872,115.2
167,Company 167,Energy,Kolkata,India,2889,118.9
168,Company 168,Logistics,Ahmedabad,India,2906,122.6
169,Company 169,Software,Hyderabad,India,2923,126.3
170,Company 170,Finance,Bengaluru,India,2940,130.0
171,Company 171,Healthcare,Mumbai,India,2957,133.7
172,Company 172,Retail,Chennai,India,2974,137.4
173,Company 173,Manufacturing,Pune,India,2991,141.1
174,Company 174,Telecom,Delhi,India,3008,144.8
175,Company 175,Energy,Kolkata,India,3025,148.5
176,Company 176,Logistics,Ahmedabad,India,3042,152.2
177,Company 177,Software,Hyderabad,India,3059,155.9
178,Company 178,Finance,Bengaluru,India,3076,159.6
179,Company 179,Healthcare,Mumbai,India,3093,163.3
180,Company 180,Retail,Chennai,India,3110,167.0
181,Company 181,Manufacturing,Pune,India,3127,170.7
182,Company 182,Telecom,Delhi,India,3144,174.4
183,Company 183,Energy,Kolkata,India,3161,178.1
184,Company 184,Logistics,Ahmedabad,India,3178,181.8
185,Company 185,Software,Hyderabad,India,3195,185.5
186,Company 186,Finance,Bengaluru,India,3212,189.2
187,Company 187,Healthcare,Mumbai,India,3229,192.9
188,Company 188,Retail,Chennai,India,3246,196.6
189,Company 189,Manufacturing,Pune,India,3263,200.3
190,Company 190,Telecom,Delhi,India,3280,204.0
191,Company 191,Energy,Kolkata,India,3297,207.7
192,Company 192,Logistics,Ahmedabad,India,3314,211.4
193,Company 193,Software,Hyderabad,India,3331,215.1
194,Company 194,Finance,Bengaluru,India,3348,218.8
195,Company 195,Healthcare,Mumbai,India,3365,222.5
196,Company 196,Retail,Chennai,India,3382,226.2
197,Company 197,Manufacturing,Pune,India,3399,229.9
198,Company 198,Telecom,Delhi,India,3416,233.6
199,Company 199,Energy,Kolkata,India,3433,237.3
200,Company 200,Logistics,Ahmedabad,India,3450,241.0
